Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Boone, Missouri, US",boone,missouri,US,2020-04-22 23:30:53,97,1,0,96
"Boone, West Virginia, US",boone,west-virginia,US,2020-04-22 23:30:53,2,0,0,2
"Bosque, Texas, US",bosque,texas,US,2020-04-22 23:30:53,3,0,0,3
"Bossier, Louisiana, US",bossier,louisiana,US,2020-04-22 23:30:53,246,12,0,234
"Botetourt, Virginia, US",botetourt,virginia,US,2020-04-22 23:30:53,26,3,0,23
"Boulder, Colorado, US",boulder,colorado,US,2020-04-22 23:30:53,417,20,0,397
"Boundary, Idaho, US",boundary,idaho,US,2020-04-22 23:30:53,0,0,0,0
"Bourbon, Kansas, US",bourbon,kansas,US,2020-04-22 23:30:53,7,1,0,6
"Bourbon, Kentucky, US",bourbon,kentucky,US,2020-04-22 23:30:53,6,1,0,5
"Bowie, Texas, US",bowie,texas,US,2020-04-22 23:30:53,66,1,0,65
"Bowman, North Dakota, US",bowman,north-dakota,US,2020-04-22 23:30:53,1,0,0,1
"Box Butte, Nebraska, US",box-butte,nebraska,US,2020-04-22 23:30:53,1,0,0,1
"Boyd, Kentucky, US",boyd,kentucky,US,2020-04-22 23:30:53,30,3,0,27
"Boyle, Kentucky, US",boyle,kentucky,US,2020-04-22 23:30:53,13,0,0,13
"Bracken, Kentucky, US",bracken,kentucky,US,2020-04-22 23:30:53,7,0,0,7
"Bradford, Florida, US",bradford,florida,US,2020-04-22 23:30:53,42,2,0,40
"Bradford, Pennsylvania, US",bradford,pennsylvania,US,2020-04-22 23:30:53,31,5,0,26
"Bradley, Arkansas, US",bradley,arkansas,US,2020-04-22 23:30:53,7,1,0,6
"Bradley, Tennessee, US",bradley,tennessee,US,2020-04-22 23:30:53,37,1,0,36
"Branch, Michigan, US",branch,michigan,US,2020-04-22 23:30:53,42,2,0,40
"Brantley, Georgia, US",brantley,georgia,US,2020-04-22 23:30:53,20,2,0,18
"Braxton, West Virginia, US",braxton,west-virginia,US,2020-04-22 23:30:53,1,0,0,1
"Brazoria, Texas, US",brazoria,texas,US,2020-04-22 23:30:53,345,3,0,342
"Brazos, Texas, US",brazos,texas,US,2020-04-22 23:30:53,173,16,0,157
"Breathitt, Kentucky, US",breathitt,kentucky,US,2020-04-22 23:30:53,2,0,0,2
"Breckinridge, Kentucky, US",breckinridge,kentucky,US,2020-04-22 23:30:53,6,0,0,6
"Bremer, Iowa, US",bremer,iowa,US,2020-04-22 23:30:53,33,0,0,33
"Brevard, Florida, US",brevard,florida,US,2020-04-22 23:30:53,225,7,0,218
"Bristol, Massachusetts, US",bristol,massachusetts,US,2020-04-22 23:30:53,1908,96,0,1812
"Bristol, Rhode Island, US",bristol,rhode-island,US,2020-04-22 23:30:53,88,0,0,88
"Bristol, Virginia, US",bristol,virginia,US,2020-04-22 23:30:53,1,0,0,1
"Broadwater, Montana, US",broadwater,montana,US,2020-04-22 23:30:53,4,0,0,4
"Brooke, West Virginia, US",brooke,west-virginia,US,2020-04-22 23:30:53,3,0,0,3
"Brookings, South Dakota, US",brookings,south-dakota,US,2020-04-22 23:30:53,9,0,0,9
"Brooks, Georgia, US",brooks,georgia,US,2020-04-22 23:30:53,36,6,0,30
"Brooks, Texas, US",brooks,texas,US,2020-04-22 23:30:53,1,0,0,1
"Broome, New York, US",broome,new-york,US,2020-04-22 23:30:53,219,11,0,208
"Broomfield, Colorado, US",broomfield,colorado,US,2020-04-22 23:30:53,110,2,0,108
"Broward, Florida, US",broward,florida,US,2020-04-22 23:30:53,4228,141,0,4087
"Brown, Indiana, US",brown,indiana,US,2020-04-22 23:30:53,14,1,0,13
"Brown, Minnesota, US",brown,minnesota,US,2020-04-22 23:30:53,8,1,0,7
"Brown, Ohio, US",brown,ohio,US,2020-04-22 23:30:53,10,1,0,9
"Brown, South Dakota, US",brown,south-dakota,US,2020-04-22 23:30:53,27,0,0,27
"Brown, Texas, US",brown,texas,US,2020-04-22 23:30:53,13,1,0,12
"Brown, Wisconsin, US",brown,wisconsin,US,2020-04-22 23:30:53,402,2,0,400
"Brule, South Dakota, US",brule,south-dakota,US,2020-04-22 23:30:53,0,0,0,0
"Brunswick, North Carolina, US",brunswick,north-carolina,US,2020-04-22 23:30:53,38,2,0,36
"Brunswick, Virginia, US",brunswick,virginia,US,2020-04-22 23:30:53,13,0,0,13
